Date,Solar,Wind,Hydro,Gas,Nuclear_SMR300,Demand
2019-01-01 00:00:00,0.0,266.884483,153.657747,122.461176,0.0,855.657391
2019-01-01 01:00:00,0.0,281.214735,159.699389,132.231157,0.0,843.370989
2019-01-01 02:00:00,0.0,284.807973,163.610086,112.949988,0.0,863.666249
2019-01-01 03:00:00,0.0,292.270567,150.926484,133.542533,0.0,904.108305
2019-01-01 04:00:00,0.0,287.421476,162.843228,128.153827,0.0,841.680845
2019-01-01 05:00:00,0.0,313.856262,161.673226,124.818617,0.0,892.566488
2019-01-01 06:00:00,0.0,281.296557,165.340345,127.001203,0.0,928.502421
2019-01-01 07:00:00,63.723553,264.319909,158.20396,126.071707,0.0,956.885595
2019-01-01 08:00:00,207.481365,279.449206,173.942454,117.393196,0.0,978.068502
2019-01-01 09:00:00,321.218325,331.588746,159.931115,119.288969,0.0,1019.266107
2019-01-01 10:00:00,422.584446,308.393142,156.149243,114.248186,0.0,1033.828468
2019-01-01 11:00:00,458.417363,265.030451,151.569071,115.522963,0.0,1038.456829
2019-01-01 12:00:00,502.408403,316.450665,142.8756,114.191725,0.0,1018.43031
2019-01-01 13:00:00,468.324993,341.436675,152.677852,109.489058,0.0,1079.205125
2019-01-01 14:00:00,405.770284,322.605614,156.776291,111.597574,0.0,1097.759166
2019-01-01 15:00:00,318.880721,340.471263,145.186411,126.287097,0.0,1091.929885
2019-01-01 16:00:00,186.215644,298.90912,148.955948,134.117155,0.0,1078.182963
2019-01-01 17:00:00,71.876702,313.249959,131.626257,115.680762,0.0,1101.4785
2019-01-01 18:00:00,0.0,313.560166,145.545294,121.375294,0.0,1050.46797
2019-01-01 19:00:00,0.0,321.136089,145.490271,114.783443,0.0,1099.692839
2019-01-01 20:00:00,0.0,288.507528,148.565706,108.711264,0.0,1073.107616
2019-01-01 21:00:00,0.0,319.035315,148.180494,124.166877,0.0,1028.548227
2019-01-01 22:00:00,0.0,304.652628,149.619054,124.14402,0.0,1006.592147
2019-01-01 23:00:00,0.0,331.684556,150.691973,113.159814,0.0,928.971631
2019-01-02 00:00:00,0.0,341.62073,155.39758,129.33312,0.0,849.539802
2019-01-02 01:00:00,0.0,347.714456,155.648742,104.4137,0.0,832.147318
2019-01-02 02:00:00,0.0,328.031586,158.068131,117.486373,0.0,817.894335
2019-01-02 03:00:00,0.0,362.201652,161.420944,123.890899,0.0,858.269402
2019-01-02 04:00:00,0.0,339.496235,153.148239,120.888518,0.0,922.959858
2019-01-02 05:00:00,0.0,362.330936,165.331658,122.079822,0.0,947.20757
2019-01-02 06:00:00,0.0,317.470353,167.827494,140.940056,0.0,918.845132
2019-01-02 07:00:00,70.802869,285.016126,154.494812,121.493831,0.0,962.756207
2019-01-02 08:00:00,183.537645,346.434656,165.457876,128.073876,0.0,1019.817978
2019-01-02 09:00:00,321.105967,363.155799,151.033444,117.144099,0.0,989.350862
2019-01-02 10:00:00,456.731235,317.979336,160.122725,118.721726,0.0,1023.664455
2019-01-02 11:00:00,543.310554,327.300662,157.699742,124.314607,0.0,1019.61399
2019-01-02 12:00:00,539.423291,333.64823,162.801347,132.033249,0.0,1096.597699
2019-01-02 13:00:00,461.369552,325.699472,162.658555,125.745628,0.0,1052.949064
2019-01-02 14:00:00,456.811068,319.573678,152.872895,111.05338,0.0,1060.139405
2019-01-02 15:00:00,336.287277,396.929588,155.686921,127.679646,0.0,1067.547956
2019-01-02 16:00:00,197.651543,332.392118,145.928318,120.310906,0.0,1052.093917
2019-01-02 17:00:00,68.963428,369.847326,129.557918,115.271811,0.0,1133.371288
2019-01-02 18:00:00,0.0,330.871648,142.470722,123.437007,0.0,1109.819335
2019-01-02 19:00:00,0.0,330.749392,148.137831,127.863824,0.0,1130.183543
2019-01-02 20:00:00,0.0,341.061588,138.517659,105.598426,0.0,1022.193759
