Date,Solar,Wind,Hydro,Gas,Demand
2018-01-01,1313.181626,1863.217429,1393.636187,787.098284,5894.183422
2018-01-02,1502.799667,1914.109649,1365.647079,838.817229,5836.838672
2018-01-03,1354.995772,2318.568408,1383.408884,838.433137,5976.355739
2018-01-04,1399.517036,2102.921817,1372.167898,871.120478,5930.427316
2018-01-05,1414.21534,2029.020369,1334.325933,817.464123,5796.944096
2018-01-06,1369.570254,1898.12472,1387.147204,809.816931,5835.098578
2018-01-07,1327.741523,1800.770928,1333.562493,836.92322,5693.85982
2018-01-08,1471.075758,1709.440571,1347.273267,829.401618,6003.001943
2018-01-09,1453.204353,1539.059048,1330.087978,764.276942,5857.402171
2018-01-10,1293.616997,1601.524194,1376.365691,878.550364,5839.861435
2018-01-11,1597.132608,1687.610016,1335.64031,851.29413,6034.332329
2018-01-12,1503.213892,2007.501496,1333.648495,849.450399,6058.52726
2018-01-13,1384.975068,2084.99011,1273.547817,822.353736,5842.976094
2018-01-14,1504.106195,2030.43772,1336.892981,858.463454,5773.016652
2018-01-15,1411.191986,2344.212557,1379.683519,840.309277,6046.414875
2018-01-16,1442.662217,2170.375924,1270.253711,897.349296,6012.067772
2018-01-17,1505.265847,2167.050494,1354.316341,872.000612,6026.854323
2018-01-18,1365.31979,1763.188694,1338.351417,894.880011,5979.428886
2018-01-19,1496.938999,1626.863641,1277.516413,817.12768,5891.66804
2018-01-20,1558.001526,1584.448934,1322.001923,828.75419,5863.259206
2018-01-21,1556.178474,1501.164261,1368.195301,843.632666,6029.415325
2018-01-22,1446.282868,1713.076036,1333.219965,838.883174,5978.437615
2018-01-23,1534.208735,2032.231536,1344.302178,906.274969,6030.807268
2018-01-24,1361.333562,2154.719015,1369.320778,870.512678,6041.154989
2018-01-25,1467.707296,1993.056557,1318.01738,828.934804,6130.907505
2018-01-26,1514.275664,2353.350085,1358.15781,854.09748,6080.913874
2018-01-27,1392.88482,2198.067521,1283.178964,917.770609,5907.1846
2018-01-28,1485.43651,2092.26154,1295.317571,855.340323,6106.937524
2018-01-29,1616.195575,1846.564371,1374.67507,883.892659,6088.530833
2018-01-30,1683.134195,1712.602138,1370.238442,815.638889,6105.401294
2018-01-31,1558.766401,1628.677445,1354.529809,851.268222,6029.149732
2018-02-01,1566.930989,1655.228532,1268.537723,864.429931,5962.643393
2018-02-02,1446.459175,1675.136002,1311.91714,862.616078,6133.710284
2018-02-03,1433.677622,2034.433455,1287.838478,871.359728,5952.295621
2018-02-04,1424.304156,2131.989083,1384.589553,882.935302,6013.55912
2018-02-05,1565.98459,2264.955649,1269.996885,907.807769,5924.68387
2018-02-06,1585.704251,2288.151438,1271.657104,822.752873,6258.901496
2018-02-07,1492.026442,2157.221844,1294.432141,877.639198,6126.120096
2018-02-08,1457.281074,2031.40211,1325.803553,897.983675,6195.915317
2018-02-09,1566.541992,1740.050186,1293.380979,884.975443,6042.89076
2018-02-10,1575.715196,1736.167234,1302.407408,913.233138,6026.926315
2018-02-11,1550.027068,1665.03847,1322.509481,876.388695,6036.762088
2018-02-12,1653.52586,1644.697333,1312.581976,868.453163,6242.293721
2018-02-13,1563.632477,1628.947452,1245.658884,857.801653,6219.760262
2018-02-14,1571.090112,2075.481218,1266.727838,910.508551,5987.278895
2018-02-15,1503.792856,2110.765244,1366.648973,846.160497,6181.968519
2018-02-16,1596.596738,2241.703863,1311.00659,872.579198,6179.875827
2018-02-17,1687.150099,2241.530067,1372.16302,885.139745,6026.743264
2018-02-18,1602.970932,2142.932832,1359.269234,905.699378,6076.927993
2018-02-19,1609.550638,2011.551605,1346.759282,879.630132,6232.124026
2018-02-20,1640.896025,1770.992807,1310.284339,861.234713,6268.691632
2018-02-21,1635.973719,1669.907367,1361.1525,907.533839,6096.806026
2018-02-22,1659.731471,1835.168111,1291.823074,857.010009,6125.938024
2018-02-23,1666.300705,1781.56593,1385.14982,870.203157,6205.384379
2018-02-24,1678.181852,1972.132822,1327.959843,832.994873,6141.695245
2018-02-25,1585.4621,1906.57536,1328.173216,898.749411,6009.682703
2018-02-26,1668.378476,1962.718799,1294.097403,898.440612,6215.304641
2018-02-27,1541.49535,2126.699522,1287.943397,843.17297,6112.766075
2018-02-28,1678.711828,2037.445408,1299.260449,889.043182,6226.377328
2018-03-01,1578.115112,2299.054957,1290.098726,913.217377,6212.512072
2018-03-02,1667.872213,2162.61668,1278.086562,877.431159,6274.205986
